"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\partlycloudy_night.svg", "XML", 0, 0, 0, 0, 29, 0, 0, 1, 30
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\partlycloudy_polartwilight.svg", "XML", 0, 0, 0, 0, 45, 0, 0, 1, 46
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\rain.svg", "XML", 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\rainandthunder.svg", "XML", 0, 0, 0, 0, 28, 0, 0, 1, 29
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\rainshowers_day.svg", "XML", 0, 0, 0, 0, 42, 0, 0, 1, 43
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\rainshowers_night.svg", "XML", 0, 0, 0, 0, 35, 0, 0, 1, 36
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\rainshowers_polartwilight.svg", "XML", 0, 0, 0, 0, 51, 0, 0, 1, 52
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\rainshowersandthunder_day.svg", "XML", 0, 0, 0, 0, 52, 0, 0, 1, 53
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\rainshowersandthunder_night.svg", "XML", 0, 0, 0, 0, 45, 0, 0, 1, 46
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\rainshowersandthunder_polartwilight.svg", "XML", 0, 0, 0, 0, 61, 0, 0, 1, 62
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\sleet.svg", "XML", 0, 0, 0, 0, 19, 0, 0, 2, 21
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\sleetandthunder.svg", "XML", 0, 0, 0, 0, 31, 0, 0, 1, 32
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\sleetshowers_day.svg", "XML", 0, 0, 0, 0, 45, 0, 0, 1, 46
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\sleetshowers_night.svg", "XML", 0, 0, 0, 0, 38, 0, 0, 1, 39
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\sleetshowers_polartwilight.svg", "XML", 0, 0, 0, 0, 54, 0, 0, 1, 55
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\sleetshowersandthunder_day.svg", "XML", 0, 0, 0, 0, 55, 0, 0, 1, 56
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\sleetshowersandthunder_night.svg", "XML", 0, 0, 0, 0, 48, 0, 0, 1, 49
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\sleetshowersandthunder_polartwilight.svg", "XML", 0, 0, 0, 0, 64, 0, 0, 1, 65
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\snow.svg", "XML", 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\snowandthunder.svg", "XML", 0, 0, 0, 0, 28, 0, 0, 1, 29
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\snowshowers_day.svg", "XML", 0, 0, 0, 0, 42, 0, 0, 1, 43
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\snowshowers_night.svg", "XML", 0, 0, 0, 0, 35, 0, 0, 1, 36
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\snowshowers_polartwilight.svg", "XML", 0, 0, 0, 0, 51, 0, 0, 1, 52
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\snowshowersandthunder_day.svg", "XML", 0, 0, 0, 0, 52, 0, 0, 1, 53
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\snowshowersandthunder_night.svg", "XML", 0, 0, 0, 0, 45, 0, 0, 1, 46
"c:\Users\dgi40\trying-this\src\components\weather\weatherIcons\svg\snowshowersandthunder_polartwilight.svg", "XML", 0, 0, 0, 0, 61, 0, 0, 1, 62
"c:\Users\dgi40\trying-this\src\components\weather\weatherSpare.js", "JavaScript", 0, 114, 0, 0, 0, 0, 10, 27, 151
"c:\Users\dgi40\trying-this\src\components\weather\windDirection.js", "JavaScript", 0, 19, 0, 0, 0, 0, 2, 2, 23
"c:\Users\dgi40\trying-this\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\dgi40\trying-this\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 3, 18
"c:\Users\dgi40\trying-this\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\dgi40\trying-this\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\dgi40\trying-this\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\dgi40\trying-this\weatherPhoto.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\dgi40\trying-this\windDirection.js", "JavaScript", 0, 19, 0, 0, 0, 0, 2, 2, 23
"Total", "-", 28822, 770, 38, 343, 3374, 25, 51, 287, 33710
